,Currently serving in the regular service,Currently serving in the reserves service,Previously served (and not currently serving) (c),Total ever served(d),Has never served in the Australian Defence Force,Not stated,Total,,,,,,,,,,,,,,,
25-29 years,11540,3036,9726,24298,1623049,124325,1771676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30-34 years,9627,3447,16718,29789,1702658,120633,1853085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35-39 years,7677,3335,19385,30399,1696921,111504,1838822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40-44 years,5281,2555,22522,30360,1524420,94066,1648843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45-49 years,4543,2427,30305,37276,1509737,88945,1635963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50-54 years,3984,2525,40368,46875,1480666,83402,1610944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55-59 years,2154,2559,44262,48981,1415229,77707,1541911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60-64 years,764,2186,44999,47946,1350336,69812,1468097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65-69 years,..,..,47679,47679,1187672,63110,1298460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70-74 years,..,..,81758,81758,1018124,60888,1160768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75-79 years,..,..,45821,45821,723926,52175,821920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80-84 years,..,..,39601,39601,467228,47769,554598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85 years and over,..,..,48396,48396,419626,74316,542342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total,60286,24581,496276,581139,18954152,1249493,20784787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
