Sex,Category,Currently serving in the regular service,Currently serving in the reserves service,Previously served (and not currently serving),Has never served in the Australian Defence Force,Not stated,Total
Persons,Natural and Physical Sciences,1271.0,724.0,8571.0,391730.0,1046.0,403340.0
Persons,Information Technology,1204.0,802.0,8491.0,458024.0,1795.0,470318.0
Persons,Engineering and Related Technologies,13050.0,4201.0,98682.0,1669032.0,7318.0,1792276.0
Persons,Architecture and Building,1097.0,627.0,20919.0,677161.0,3163.0,702968.0
Persons,"Agriculture, Environmental and Related Studies",370.0,339.0,7661.0,240427.0,956.0,249755.0
Persons,Health,3040.0,2406.0,27012.0,1318055.0,5420.0,1355939.0
Persons,Education,1186.0,946.0,20045.0,994639.0,3565.0,1020373.0
Persons,Management and Commerce,8340.0,4518.0,59463.0,2488812.0,7560.0,2568691.0
Persons,Society and Culture,6286.0,3959.0,39831.0,1538349.0,5077.0,1593494.0
Persons,Creative Arts,1058.0,546.0,6108.0,498455.0,1320.0,507495.0
Persons,"Food, Hospitality and Personal Services",1769.0,346.0,9852.0,622845.0,3210.0,638018.0
Persons,Mixed Field Programmes,62.0,19.0,365.0,18353.0,826.0,19619.0
Persons,Field of study inadequately described,1463.0,656.0,8938.0,185762.0,1737.0,198556.0
Persons,Field of study not stated,1473.0,537.0,17580.0,486166.0,1114663.0,1620416.0
Persons,Total,41667.0,20630.0,333506.0,11587809.0,1157651.0,13141265.0
