Sex,Category,Currently serving in the regular service,Currently serving in the reserves service,Previously served (and not currently serving),Has never served in the Australian Defence Force,Not stated,Total
Males,15-19 years,2203,305,543,703555,42714,749330
Males,20-24 years,8683,1694,2956,738099,55390,806829
Males,25-29 years,8906,2415,8013,798311,69196,886836
Males,30-34 years,7595,2827,14117,812664,67192,904395
Males,35-39 years,6204,2691,16287,814615,61898,901697
Males,40-44 years,4311,1996,18035,736662,53404,814410
Males,45-49 years,3770,1873,24458,722422,49997,802516
Males,50-54 years,3325,2006,31924,702739,47169,787164
Males,55-59 years,1873,2169,36081,670947,43174,754242
Males,60-64 years,625,1917,36695,634234,37688,711159
Males,65-69 years,0,0,40864,552367,32665,625898
Males,70-74 years,0,0,75993,455301,29980,561275
Males,75-79 years,0,0,42202,326266,24167,392637
Males,80-84 years,0,0,37266,195372,19838,252476
Males,85 years and over,0,0,44207,140742,25498,210440
Males,Total,47495,19896,429637,9004300,659976,10161299
Females,15-19 years,796,98,203,668719,38664,708485
Females,20-24 years,3024,409,1033,724172,44081,772711
Females,25-29 years,2636,620,1715,824737,55130,884837
Females,30-34 years,2036,619,2600,890000,53439,948691
Females,35-39 years,1479,646,3096,882302,49604,937130
Females,40-44 years,973,559,4487,787757,40662,834435
Females,45-49 years,779,556,5846,787321,38944,833442
Females,50-54 years,658,515,8440,777925,36231,823781
Females,55-59 years,281,389,8183,744284,34532,787674
Females,60-64 years,140,269,8305,716104,32125,756943
Females,65-69 years,0,0,6817,635307,30437,672561
Females,70-74 years,0,0,5765,562819,30905,599493
Females,75-79 years,0,0,3620,397660,28003,429281
Females,80-84 years,0,0,2332,271860,27932,302129
Females,85 years and over,0,0,4194,278885,48826,331903
Females,Total,12791,4683,66639,9949853,589523,10623484
Persons,15-19 years,3005,404,748,1372275,81375,1457812
Persons,20-24 years,11708,2102,3986,1462270,99475,1579539
Persons,25-29 years,11540,3036,9726,1623049,124325,1771676
Persons,30-34 years,9627,3447,16718,1702658,120633,1853085
Persons,35-39 years,7677,3335,19385,1696921,111504,1838822
Persons,40-44 years,5281,2555,22522,1524420,94066,1648843
Persons,45-49 years,4543,2427,30305,1509737,88945,1635963
Persons,50-54 years,3984,2525,40368,1480666,83402,1610944
Persons,55-59 years,2154,2559,44262,1415229,77707,1541911
Persons,60-64 years,764,2186,44999,1350336,69812,1468097
Persons,65-69 years,0,0,47679,1187672,63110,1298460
Persons,70-74 years,0,0,81758,1018124,60888,1160768
Persons,75-79 years,0,0,45821,723926,52175,821920
Persons,80-84 years,0,0,39601,467228,47769,554598
Persons,85 years and over,0,0,48396,419626,74316,542342
Persons,Total,60286,24581,496276,18954152,1249493,20784787
