Sex,Category,Currently serving in the regular service,Currently serving in the reserves service,Previously served (and not currently serving),Has never served in the Australian Defence Force,Not stated,Total
Males,Has need for assistance with core activities,481,270,58968,501924,14904,576543
Males,Does not have need for assistance with core activities,46679,19449,366225,8424718,69784,8926857
Males,Not stated,331,179,4443,77656,575279,657898
Males,Total males,47495,19896,429637,9004300,659976,10161299
Females,Has need for assistance with core activities,170,76,7976,695838,23445,727503
Females,Does not have need for assistance with core activities,12489,4561,57958,9172224,72806,9320046
Females,Not stated,133,49,702,81792,493266,575937
Females,Total females,12791,4683,66639,9949853,589523,10623484
Persons,Has need for assistance with core activities,651,344,66948,1197760,38350,1304052
Persons,Does not have need for assistance with core activities,59170,24006,424190,17596938,142592,18246903
Persons,Not stated,469,231,5144,159453,1068548,1233838
Persons,Total persons,60286,24581,496276,18954152,1249493,20784787
