,Currently serving in the regular service,Currently serving in the reserves service,Previously served (and not currently serving)(d),Total ever served(e),Has never served in the Australian Defence Force,Not stated,Total,,,,,,,,,,
,PERSO?NS,,,,,,,,,,,,,,,,
Has need for assistance with core activities ,651,344,66948,67941,1197760,38350,1304052,,,,,,,,,,
Does not have need for assistance with core activities,59170,24006,424190,507364,17596938,142592,18246903,,,,,,,,,,
Not stated,469,231,51144,5837,159453,1068548,1233838,,,,,,,,,,
Total persons,60286,24581,496276,5810139,18954152,1249493,20784787,,,,,,,,,,
