,Currently serving in the regular service,Currently serving in the reserves service,Previously served (and not currently serving)(d),Total ever served(e),Has never served in the Australian Defence Force,Not stated,Total,,,,,,,,,,
,MALES,,,,,,,,,,,,,,,,
Has need for assistance with core activities ,481,270,58968,59716,501924,14904,576543,,,,,,,,,,
Does not have need for assistance with core activities,46679,19449,366225,432355,8424718,69784,8926857,,,,,,,,,,
Not stated,331,179,4443,,77656,575279,657898,,,,,,,,,,
Total males,47495,,429637,497027,9004300,659976,10161299,,,,,,,,,,
