Sex,Category,Currently serving in the regular service,Currently serving in the reserves service,Previously served (and not currently serving),Total ever served,Has never served in the Australian Defence Force,Not stated,Total
Males,New South Wales,14108,5323.0,112752.0,132175.0,2891090.0,205314.0,3228581.0
Males,Victoria,5399,3308.0,83121.0,91834.0,2358311.0,150153.0,2600300.0
Males,Queensland,13498,5046.0,119571.0,138110.0,1754961.0,151288.0,2044361.0
Males,South Australia,3235,1629.0,36229.0,41089.0,644361.0,,723017.0
Males,Western Australia,3541,1964.0,47380.0,52888.0,927598.0,82375.0,1062852.0
Males,Tasmania,223,531.0,14787.0,15543.0,197721.0,12985.0,226250.0
Males,Northern Territory,3053,425.0,4234.0,7716.0,73332.0,11252.0,92299.0
Males,Australian Capital Territory,4421,1658.0,11491.0,17575.0,155478.0,8525.0,181575.0
Males,Total(e),47495,19896.0,429637.0,497027.0,9004300.0,659976.0,10161299.0
Females,New South Wales,3900,1184.0,14905.0,19997.0,3159540.0,194034.0,3373575.0
Females,Victoria,1466,660.0,11275.0,,2578061.0,142276.0,2733735.0
Females,Queensland,3305,1291.0,20403.0,24997.0,1992327.0,130132.0,2147455.0
Females,South Australia,703,419.0,5631.0,6762.0,715269.0,33337.0,755362.0
Females,Western Australia,953,445.0,8135.0,9535.0,1020715.0,61142.0,1091391.0
Females,Tasmania,70,137.0,2725.0,2929.0,223408.0,12344.0,238684.0
Females,Northern Territory,817,120.0,879.0,1818.0,81197.0,8391.0,91409.0
Females,Australian Capital Territory,1554,423.0,2673.0,4652.0,177745.0,7581.0,189986.0
Females,Total(e),12791,4683.0,66639.0,84108.0,9949853.0,589523.0,10623484.0
Persons,New South Wales,18007,6506.0,127657.0,152170.0,6050636.0,399351.0,6602157.0
Persons,Victoria,6866,3973.0,94393.0,105234.0,4936372.0,292432.0,5334032.0
Persons,Queensland,16803,6339.0,139973.0,163112.0,3747281.0,281419.0,4191812.0
Persons,South Australia,3940,,41861.0,47852.0,1359631.0,70896.0,1478375.0
Persons,Western Australia,4496,2413.0,55507.0,62417.0,1948313.0,143513.0,2154244.0
Persons,Tasmania,290,670.0,17515.0,18473.0,421126.0,25336.0,464930.0
Persons,Northern Territory,3874,547.0,5110.0,9534.0,154529.0,19641.0,183704.0
Persons,Australian Capital Territory,5977,2084.0,14164.0,22220.0,333222.0,16111.0,371559.0
Persons,Total(e),60286,24581.0,496276.0,581139.0,18954152.0,1249493.0,20784787.0
