Sex,Category,Currently serving in the regular service,Currently serving in the reserves service,Previously served (and not currently serving),Total ever served,Has never served in the Australian Defence Force,Not stated,Total
Persons,Aboriginal and Torres Strait Islander people(e),2362.0,,11610.0,14765.0,503235.0,29173.0,547177.0
Persons,Non-Indigenous people,57736.0,23663.0,481064.0,,18368149.0,284978.0,19215592.0
Persons,Indigenous status not stated,187.0,119.0,3605.0,3904.0,82769.0,935343.0,1022016.0
Persons,Total,60286.0,24581.0,496276.0,581139.0,18954152.0,,20784787.0
