Sex,Category,Currently serving in the regular service,Currently serving in the reserves service,Previously served (and not currently serving),Total ever served,Has never served in the Australian Defence Force,Not stated,Total
Males,Has need for assistance with core activities,481,270.0,58968.0,59716.0,501924.0,14904.0,576543.0
Males,Does not have need for assistance with core activities,46679,19449.0,366225.0,432355.0,8424718.0,69784.0,8926857.0
Males,Not stated,331,179.0,4443.0,4953.0,77656.0,575279.0,657898.0
Males,Total males,47495,19896.0,429637.0,,9004300.0,659976.0,10161299.0
Females,Has need for assistance with core activities,170,76.0,7976.0,8219.0,695838.0,23445.0,727503.0
Females,Does not have need for assistance with core activities,12489,4561.0,57958.0,75009.0,9172224.0,72806.0,9320046.0
Females,Not stated,133,49.0,702.0,883.0,81792.0,493266.0,575937.0
Females,Total females,12791,4683.0,66639.0,84108.0,9949853.0,589523.0,10623484.0
Persons,Has need for assistance with core activities,651,344.0,66948.0,67941.0,1197760.0,38350.0,1304052.0
Persons,Does not have need for assistance with core activities,59170,24006.0,424190.0,507364.0,17596938.0,142592.0,18246903.0
Persons,Not stated,469,231.0,5144.0,5837.0,,1068548.0,1233838.0
Persons,Total persons,60286,24581.0,496276.0,581139.0,18954152.0,1249493.0,20784787.0
