,Currently serving in the regular service,Currently serving in the reserves service,Previously served (and not currently serving)(d),Total ever served(e),Has never served in the Australian Defence Force,Not stated,Total,,,,,,,,,,
Not stated,469,231,5144,5837,159453,1068548,1233838,0,0,0,0,0,0,0,0,0,0
Total persons,60286,24581,496276,581139,18954152,1249493,20784787,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
